iter	Passed	Remaining
0	0	90
1	1	81
2	2	74
3	2	70
4	3	65
5	4	63
6	4	61
7	5	61
8	6	61
9	6	60
10	7	60
11	8	59
12	8	57
13	9	56
14	9	55
15	10	54
16	10	52
17	11	50
18	11	49
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	46	10
82	46	9
83	47	9
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
