iter	Passed	Remaining
0	0	692
1	1	638
2	1	596
3	2	586
4	2	584
5	3	564
6	3	549
7	4	541
8	4	537
9	5	529
10	5	527
11	6	520
12	6	515
13	7	512
14	7	508
15	8	503
16	8	506
17	9	508
18	9	508
19	10	505
20	10	504
21	11	503
22	11	505
23	12	503
24	12	503
25	13	504
26	14	504
27	14	505
28	15	504
29	15	505
30	16	506
31	16	506
32	17	507
33	17	505
34	18	502
35	18	499
36	19	499
37	19	498
38	20	498
39	20	497
40	21	496
41	21	496
42	22	494
43	22	493
44	23	492
45	23	491
46	24	490
47	24	488
48	25	486
49	25	486
50	26	486
51	26	486
52	27	485
53	27	484
54	28	484
55	28	484
56	29	483
57	29	482
58	30	481
59	30	480
60	31	478
61	31	477
62	31	475
63	32	474
64	32	473
65	33	472
66	33	470
67	34	470
68	34	468
69	35	467
70	35	466
71	36	466
72	36	465
73	37	463
74	37	463
75	38	463
76	38	463
77	39	462
78	39	461
79	40	460
80	40	459
81	40	458
82	41	456
83	41	455
84	42	455
85	42	454
86	43	453
87	43	452
88	44	452
89	44	452
90	45	452
91	45	451
92	46	451
93	46	451
94	47	451
95	47	450
96	48	449
97	48	448
98	49	448
99	49	447
100	50	447
101	50	446
102	51	446
103	51	445
104	52	444
105	52	443
106	53	443
107	53	442
108	54	442
109	54	441
110	55	440
111	55	439
112	55	438
113	56	438
114	56	437
115	57	436
116	57	435
117	58	434
118	58	433
119	59	433
120	59	433
121	60	432
122	60	431
123	61	431
124	61	431
125	62	430
126	62	429
127	63	429
128	63	428
129	63	428
130	64	427
131	64	426
132	65	426
133	65	425
134	66	425
135	66	424
136	67	424
137	67	424
138	68	424
139	69	424
140	69	423
141	69	422
142	70	425
143	71	424
144	71	424
145	72	424
146	73	425
147	73	424
148	74	423
149	74	423
150	75	422
151	75	421
152	75	420
153	76	419
154	76	418
155	77	417
156	77	416
157	78	415
158	78	415
159	78	414
160	79	413
161	79	412
162	80	411
163	80	410
164	81	410
165	81	409
166	82	409
167	82	408
168	83	408
169	83	407
170	83	406
171	84	405
172	84	404
173	85	404
174	85	403
175	86	402
176	86	402
177	86	401
178	87	400
179	87	399
180	88	399
181	88	398
182	89	397
183	89	396
184	89	396
185	90	395
186	90	394
187	91	394
188	91	394
189	92	393
190	92	392
191	93	392
192	93	391
193	94	390
194	94	390
195	94	389
196	95	388
197	95	387
198	96	387
199	96	386
200	97	386
201	97	385
202	98	385
203	98	384
204	99	383
205	99	383
206	99	382
207	100	381
208	100	381
209	101	380
210	101	379
211	101	379
212	102	378
213	102	377
214	103	377
215	103	376
216	104	376
217	104	375
218	105	375
219	105	374
220	106	373
221	106	373
222	106	372
223	107	372
224	107	371
